"Account number","Numéro de compte"
"Bank code","Code de banque"
"Holder","Titulaire de compte"
"Amount","Montant"
"Transaction Id: %s","ID de transaction interne de SOFORT AG: %s (prier d'indiquer en cas de questions au support)."
"click to download invoice","Cliquez ici pour télécharger la facture. "
"Transaction Id","ID de transaction"
"Order No.: ","Numéro de commande"
"Payment was successful.","Payement réussi. Votre ID de transaction: %s"
"Payment successfull. Invoice needs to be confirmed.","Commande avec paiement sur facture transmise avec succès. Confirmation par le commerçant n'a pas encore été effectuée. Votre ID de transaction: %s"
"Payment was not successfull","Une erreur s'est produite pendant la commande. "
"Sofortueberweisung payment loaded.","SOFORT Banking sélectionné en tant que mode de paiement. Transaction ne pas terminée. "
"Vorkasse by sofort payment loaded.","Vorkasse by SOFORT sélectionné en tant que mode de paiement. Transaction ne pas terminée. "
"sofortlastschrift payment loaded.","SOFORT Lastschrift sélectionné en tant que mode de paiement. Transaction ne pas terminée. "
"Lastschrift by sofort payment loaded.","Lastschrift by SOFORT sélectionné en tant que mode de paiement. Transaction ne pas terminée. "
"Rechnung by SOFORT payment loaded.","Paiement sur facture sélectionné en tant que mode de paiement. Transaction ne pas terminée. "
"Please fill out the account holder","Veuillez remplir les champs numéro de compte, code de banque et titulaire de compte."
"Please fill out the account number","Veuillez remplir les champs numéro de compte, code de banque et titulaire de compte."
"Please fill out the bank code","Veuillez remplir les champs numéro de compte, code de banque et titulaire de compte."
"Cancelation of payment","Le mode de paiement sélectionné n'est malheureusement pas possible ou a été annulé à la demande du client. Veuillez sélectionner un autre mode de paiement. "
"Customer returned successfully","Le client est retourné avec succès de sofort.com"
"Project password","mot de passe du projet"
"Notification password","mot de passe de notification"
"Create Invoice","Générer facture après paiement"
"Projekt Id","Numéro de projet"
"User Id","Numéro client"
"Sofortueberweisung","SOFORT Banking"
"customer protection","SOFORT Banking avec protection du consommateur"
"Direct payment method of Payment Network AG.","SOFORT Banking est le service de paiement gratuit et certifié TÜV de SOFORT AG."
"Rechnung by sofort","Rechnung by SOFORT"
"Orders with Rechnung by sofort","Command avec Rechnung by SOFORT"
"Rechnung","Paiement sur facture"
"Invoice with payment guarantee.","Paiement sur facture avec garantie de paiement"
"sofortlastschrift","SOFORT Lastschrift"
"Secure direct debit system.","Le processus sécurisé de prélèvement automatique de SOFORT AG."
"Vorkasse by sofort","Vorkasse by SOFORT"
"Vorkasse","Paiement anticipé"
"Automated money order system.","Paiement anticipé avec rapprochement automatisé de paiement."
"Lastschrift by sofort","Lastschrift by SOFORT"
"Lastschrift","Prélèvement bancaire (prélèvement automatique)"
"Lastschriftverfahren","Prélèvement bancaire automatisé de SOFORT AG."
"sofortueberweisung and other sofort-products","SOFORT Banking et autres produits SOFORT"
"More","plus d'information"
"Error while saving this configuration: ","Erreur lors de l'enregistrement:"
"Item was successfully saved","Sauvegardé avec succès."
"Item was successfully saved, order can not change","transmis avec succès, commande n'a pas pu être ajustée"
"Edit Cart","Traiter panier"
"Update Invoice","sauvegarder facture traitée"
"Your benefit:","Vos avantages:"
"Certified payment method","<ul><il>Système de paiement avec protection de données vérifiée TÜV</li><li>Enregistrement ne pas nécessaire</li><li>marchandise/service est envoyé immédiatement si disponible</li><li>Veuillez tenir à disposition vos données de banque en ligne (code confidentiel/code secret)</li></ul>"
"Certified payment method, direct debit","<ul><li>Système de paiement avec protection de données vérifiée TÜV</li><li>Enregistrement ne pas nécessaire</li><li>Marchandise/Service peut être envoyé immédiatement,/li><li>Veuillez tenir à disposition votre code confidentiel de banque en ligne</li></ul>"
"Help","Aide"
"Learn More","plus d'information"
"Sort sequence","Séquence d'affichage"
"Activate module","Module activé"
"Label","Description"
"Payment from applicable countries","restreindre pays"
"Payment from Specific countries","restreindre pays"
"Money received.","réception de paiement"
"Customer returned payment","Pour cette transaction aucun rejet de débit n'existe"
"Please pay to the following account","Veuillez utiliser les données de virement suivantes"
"Your order # is: %s.","Votre numéro de commande est: %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir une confirmation par e-mail avec vos détails de la commande et un lien vers l'état de traitement."
"Reason","Motif de paiement "
"Reason 2","Motif de paiement 2"
"Please confirm our privacy policy.","Veuillez accepter la politique de confidentialité. "
"The invoice has been canceled.","La facture a été annulée. Créer un crédit. "
"Configuration key","Clé de configuration"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","La facture a été annulée %s"
"Successfully canceled invoice. Credit memo created: %s","La facture a été annulée. Créer crédit. %s"
"Banner or text","Bannière ou texte à la sélection des options de paiement. "
"All products deactivated due to errors, initiation aborted.","Le processus a été annulé en raison d'erreurs."
"Must not be empty.","Les données sont incomplètes ou erronées. Veuillez les rectifier ou contacter le gérant de la boutique. "
"Not in list of valid values.","Ne pas dans la gamme de valeurs valides. "
"Must be a positive number.","La valeur doit être positive. "
"Unsupported currency.","En ce moment uniquement des commandes en Euro sont favorisées. Veuillez corriger ceci et essayer de nouveau. "
"Amount is out of range.","Le total est trop élevé ou trop bas. Veuillez corriger cela ou contacter le gérant de la boutique en ligne. "
"Invalid characters.","Caractères inconnus. "
"Maximum length of 27 characters exceeded.","Nombre maximal de caractères dépassé (max 27)."
"Invalid email address.","La commande ne peut pas être effectuée en raison d'une adresse e-mail erronée. Veuillez corriger celle-ci et essayer de nouveau. "
"Invalid phone number.","La commande ne peut pas être effectuée en raison d'un numéro de téléphone erroné. Veuillez corriger ceci et essayer de nouveau."
"Invalid country code.","L'identification de pays n'est pas soutenue, veuillez contacter le gérant de la boutique en ligne"
"Unsupported country code.","Le BIC indiqué n'est pas valable."
"Invalid BIC.","La commande ne peut pas être effectuée en raison d'un BIC (Bank Identifier Code) erroné. Veuillez le corriger et essayer de nouveau. "
"Only German addresses (DE) are supported.","La commande ne peut pas être effectuée en raison d'une identification de pays erronée. L'adresse de livraison/facture doit se trouver en Allemagne. Veuillez corriger ceci et essayer de nouveau. "
"Product only supports German sender accounts.","Uniquement des comptes allemands sont soutenus. Veuillez corriger ceci ou sélectionner un autre mode de paiement."
"Invoice amount exceeds amount limit in factoring contract.","Le total est trop élevé. Veuillez le corriger et essayer de nouveau."
"Invoice amount is lower than minimum amount defined in project settings.","Le total est trop bas. Veuillez le corriger et essayer de nouveau. "
"Invalid tax, allowed values are: 7, 19.","La valeur pour le TVA est erronée. Valeurs valables: 0,7,19."
"Validation of given bank account and bank code failed.","La validation du compte bancaire et du code de banque a échoué."
"Maximum length of 255 characters exceeded.","La nombre maximal de 255 caractères a été dépassé."
"Invalid items found.","La demande contenait des positions de panier invalides. Veuillez corriger cela ou contacter le gérant de la boutique en ligne."
"Payment not possible with this service.","Veuillez au moins indiquer le titulaire du compte et essayer ensuite de nouveau."
"Transaction with same data already created.","Une transaction avec les données transmises par vous existe déjà."
"This service is currently only accessible by non-commercial customers.","Paiement sur facture est en ce moment seulement disponible pour clients privés."
"Version Number","Numéro de version"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/fr/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/fr/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/fr/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/fr/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/fr/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/fr/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/fr/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Produits virtuels ne peuvent pas être payés avec avec paiement sur facture. "
"Successfully edit invoice.","Facture traitée avec succès."
"Could not edit invoice.","La facture ne peut pas être traitée."
"The invoice has been edit.","La facture a été alignée. "
"quantity increase is not allowed","Vous ne pouvez pas ajouter plus d'articles"
"price increase is not allowed","Vous ne pouvez pas augmenter le prix"
"your invoice amount will automatically be deducted from your your bank account.","Votre compte bancaire sera débité automatiquement par prélèvement bancaire"
"number","Numéro de facture"
"bank_holder","Titulaire de compte"
"bank_account_number","Numéro de compte "
"bank_code","Code de banque"
"bank_name","Établissement de crédit "
"reason","Motif de paiement"
"date","Date de la facture"
"due_date","échéance"
"debitor_text","Texte sur la cession de créance"
"Amount increase not allowed","Le montant de la facture ne peut pas dépasser le montant initial."
"Amount have to be positive","Le montant de la facture doit être positif."
"Invoice will be canceled","Attention: la facture sera maintenant annulée complètement."
"Old Amount:","Total précédent:"
"New Amount:","Nouveau total:"
"Holding order status","État de commande temporaire (définissez l'état pour commandes qui n'ont pas encore été payées.)"
"Confirmed order status","État de commande confirmé (définissez l'état pour commandes qui ont été complétées avec succès par SOFORT Banking.)"
"Loss order status","État de commande en cas de non-paiement (définissez l'état pour commandes qui ont besoin d'être vérifiées.)"
"Refund order status","État de commande en cas de remboursement (définissez l'état pour commandes qui ont été remboursées.)"
"Unconfirmed order status","Définissez l'état pour commandes qui doivent être confirmées par le commerçant (pour effectuer l'achat des créances). "
"Confirmed invoice order status","État de commande confirmé (définissez l'état pour commandes qui ont été confirmées par le commerçant.)"
"reason_help","Placeholder:<br/><ul><li>Numéro de commande: {{ordernr}}</li><li>Le client: {{name}}</li><li>Date de la facture: {{date}}</li><li>Shopname: {{shopname}}</li><li>Transaction: {{transaction}}</li></ul>"

